gate,required,actual,status
validator,PASS,,PENDING
ci_static_checks,PASS,,PENDING
online_smoke,ALL_PASS,,PENDING
production_database_revision,0009_diag_data,,PENDING
production_alembic_head,0009_diag_data,,PENDING
production_schema_ok,true,,PENDING
writes_database,false,,PENDING
no_case_write,true,,PENDING
no_diagnostic_report_write,true,,PENDING
no_observation_write,true,,PENDING
no_imagingstudy_write,true,,PENDING
no_ai_summary_write,true,,PENDING
no_audit_log_write,true,,PENDING
no_final_diagnosis,true,,PENDING
no_treatment_plan,true,,PENDING
no_prescription,true,,PENDING
no_drug_dose,true,,PENDING
requires_human_review,true,,PENDING
clinician_signoff_required,true,,PENDING
decision,GO_TO_CLINICAL_QA_DASHBOARD_V2,,PENDING
