item_id,area,requirement,evidence_source,evidence_status,blocking,notes
RR-001,stage_boundary,Complete PMAI-P0-02 without signed-review 0010 or production migration.,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_ROLLBACK_RESTORE_EVIDENCE_V1.md,PASS_STATIC,yes,Only isolated staging 0009 baseline/fixture writes occurred.
RR-002,previous_handoff,PMAI-P0-01 hands off only to rollback and restore evidence.,docs/clinical_data/TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_STAGING_REHEARSAL_EVIDENCE_V1.md,VERIFIED,yes,GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_ROLLBACK_RESTORE_EVIDENCE_V1
RR-003,staging_isolation,Record non-secret staging identity and proof of production isolation.,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/01_environment_sanitized.txt,VERIFIED,yes,Ohio source and disposable target are isolated; no connection URI committed.
RR-004,backup_id,Capture provider PITR identifier and timestamp.,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/02_provider_backup_sanitized.txt,VERIFIED,yes,Operator-sanitized Render PITR reference.
RR-005,backup_integrity,Capture provider restore success and integrity evidence.,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/02_provider_backup_sanitized.txt,VERIFIED,yes,Integrity proven by successful restore and exact verification parity.
RR-006,restore_instance,Restore into a disposable target isolated from production.,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/03_provider_restore_sanitized.txt,VERIFIED,yes,Disposable Ohio restore target.
RR-007,restore_duration,"Record restore start, finish, and duration.",docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/03_provider_restore_sanitized.txt,VERIFIED,yes,UTC timestamps and positive duration recorded.
RR-008,revision_verification,Verify source/restored revision and head remain 0009_diag_data.,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/12_restore_comparison_sanitized.txt,VERIFIED,yes,No stamp-head or manual revision edit.
RR-009,row_counts,Compare required clinical and audit table row counts.,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/12_restore_comparison_sanitized.txt,VERIFIED,yes,Exact source/restore parity.
RR-010,sample_case_readback,Read back a pseudonymized sample case and linked data.,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/12_restore_comparison_sanitized.txt,VERIFIED,yes,Synthetic token and five linked records match.
RR-011,rollback_dry_run,Capture restore-based rollback drill and expected restored state.,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/12_restore_comparison_sanitized.txt,VERIFIED,yes,P0-02 did not apply or downgrade signed-review 0010.
RR-012,failure_path,"Record failure criteria, escalation role, and incident owner.",docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/04_failure_ownership_sanitized.txt,VERIFIED,yes,Role labels only; no personal contact data.
RR-013,forbidden_revision_shortcut,Do not use stamp head or manually edit Alembic revision state.,docs/clinical_data/evidence/PMAI_P0_02_ROLLBACK_RESTORE_V1/04_failure_ownership_sanitized.txt,PASS_POLICY,yes,Both forbidden shortcuts recorded false.
RR-014,secret_safety,"Evidence contains no database URL, credential, owner email, or phone number.",scripts/validate_treatment_framework_signed_review_state_persistence_migration_rollback_restore_evidence.py,PASS_STATIC,yes,Validator verifies manifest and conservative secret patterns.
RR-015,production_hard_gate,Production remains revision/head 0009 with schema_ok and no migration errors.,scripts/smoke_petmed.sh,PASS_RUNTIME,yes,Cumulative smoke must pass before commit.
RR-016,next_stage,Advance only to authenticated staging smoke after P0-02 completion.,GO_TO_TREATMENT_FRAMEWORK_SIGNED_REVIEW_STATE_PERSISTENCE_MIGRATION_AUTHENTICATED_STAGING_SMOKE_V1,VERIFIED,yes,Does not authorize signed-review 0010 apply or production write.
