phase,item,owner,evidence_source,expected_result,hard_stop_if_failed,status,notes
release,Release record prepared,release_owner,docs/ops/PREVENTIVE_CARE_REMINDER_RELEASE_RECORD_V1.md,record exists,yes,,
ci,Static CI,developer,bash scripts/ci_static_checks.sh,PASS,yes,,
ci,GitHub Actions,developer,GitHub Actions Pet-Med-AI CI Gate,green,yes,,
smoke,Online smoke,operator,BASE_URL=https://pet-med-ai-backend.onrender.com bash scripts/smoke_petmed.sh,ALL PASS,yes,,
db,System version,operator,/api/system/version,schema_ok true,yes,,
db,Revision alignment,operator,/api/system/version,database_revision equals alembic_head,yes,,
db,Preventive migration,operator,Alembic current,0007_preventive_care,yes,,
feature,Spec validator,developer,scripts/validate_preventive_care_reminder_spec.py,OK,yes,,
feature,Model validator,developer,scripts/validate_preventive_care_reminder_model.py,OK,yes,,
feature,Rule dry-run validator,developer,scripts/validate_preventive_care_rule_engine_dry_run.py,OK,yes,,
feature,API validator,developer,scripts/validate_preventive_care_reminder_api.py,OK,yes,,
feature,UI validator,developer,scripts/validate_preventive_care_reminder_ui.py,OK,yes,,
feature,Notification queue validator,developer,scripts/validate_preventive_care_notification_queue.py,OK,yes,,
feature,Notification queue UI validator,developer,scripts/validate_preventive_care_notification_queue_ui.py,OK,yes,,
feature,Online verification validator,developer,scripts/validate_preventive_care_online_verification.py,OK,yes,,
safety,No external message,clinical_ops_owner,browser/network/log evidence,sends_external_message=false,yes,,
safety,Manual review required,clinical_ops_owner,queue page/API response,manual_review_required=true,yes,,
safety,Auto send disabled,clinical_ops_owner,queue page/API response,auto_send=false,yes,,
safety,Client opt-out respected,clinical_ops_owner,online verification,blocked_opt_out behavior verified,yes,,
security,No secrets in console/logs,security_owner,DevTools/Render logs,no SECRET TOKEN KEY PASSWORD values,yes,,
release,Final decision,release_owner,release evidence,GO PAUSE NO-GO or ROLLBACK-REVIEW,yes,,
